my_rank: 0 iteration: 0 MPI_Routine: MPI_Gather WallTime: 0.000003 Bytes Transferred: 4
my_rank: 0 iteration: 0 MPI_Routine: MPI_Barrier WallTime: 0.000004 Bytes Transferred: 0
my_rank: 0 iteration: 0 MPI_Routine: MPI_Gatherv WallTime: 0.000002 Bytes Transferred: 36
my_rank: 0 iteration: 0 MPI_Routine: MPI_Gatherv WallTime: 0.000001 Bytes Transferred: 36
my_rank: 0 iteration: 0 MPI_Routine: MPI_Bcast WallTime: 0.000003 Bytes Transferred: 4
my_rank: 1 iteration: 0 MPI_Routine: MPI_Gather WallTime: 0.000002 Bytes Transferred: 4
my_rank: 1 iteration: 0 MPI_Routine: MPI_Barrier WallTime: 0.000002 Bytes Transferred: 0
my_rank: 1 iteration: 0 MPI_Routine: MPI_Gatherv WallTime: 0.000001 Bytes Transferred: 40
my_rank: 1 iteration: 0 MPI_Routine: MPI_Gatherv WallTime: 0.000000 Bytes Transferred: 40
my_rank: 1 iteration: 0 MPI_Routine: MPI_Bcast WallTime: 0.000018 Bytes Transferred: 4
---------------------Cumulative Time and Bytes Transferred by Routine Type--------------------
Wall Time
MPI_Bcast: 0.000021
MPI_Allgather: 0.000000
MPI_Allgatherv: 0.000000
MPI_Gather: 0.000005
MPI_Gatherv: 0.000003
MPI_Barrier: 0.000007
Bytes Transferred
MPI_Bcast: 8
MPI_Allgather: 0
MPI_Allgatherv: 0
MPI_Gather: 8
MPI_Gatherv: 152
MPI_Barrier: 0
